,fSalesPrimaryKey,ProductID,SalesRepID,Location,Date,Units,PercentOfStandardCost,RevenueDiscount
0,12249,3,5,Germany;Berlin,2015-01-02,144,0.966,0.55
67,12316,4,5,Germany;Berlin,2015-01-03,90,0.964,0.4
68,12317,8,5,Germany;Berlin,2015-01-03,85,0.964,0.4
69,12318,6,1,Czech republic;Prague,2015-01-03,84,0.964,0.4
70,12319,8,5,Germany;Berlin,2015-01-03,82,0.964,0.4
71,12320,6,7,Germany;Frankfurt,2015-01-03,82,0.964,0.4
72,12321,5,7,Germany;Frankfurt,2015-01-03,80,0.964,0.4
73,12322,3,7,Germany;Frankfurt,2015-01-03,79,0.964,0.4
74,12323,9,7,Germany;Frankfurt,2015-01-03,77,0.964,0.4
75,12324,10,6,Germany;Dresden,2015-01-03,69,0.964,0.15
76,12325,1,2,Denmark;Copenhagen,2015-01-03,64,0.964,0.15
77,12326,10,5,Germany;Berlin,2015-01-03,57,0.964,0.15
78,12327,3,2,Denmark;Copenhagen,2015-01-03,53,0.964,0.15
79,12328,9,2,Denmark;Copenhagen,2015-01-03,51,0.964,0.15
80,12329,7,5,Germany;Berlin,2015-01-03,45,0.964,0.15
81,12330,4,4,Germany;Frankfurt,2015-01-03,44,0.964,0.15
82,12331,3,3,Czech republic;Brno,2015-01-03,44,0.964,0.15
83,12332,8,7,Germany;Frankfurt,2015-01-03,43,0.964,0.15
84,12333,9,7,Germany;Frankfurt,2015-01-03,41,0.964,0.15
85,12334,7,4,Germany;Frankfurt,2015-01-03,40,0.964,0.15
86,12335,9,2,Denmark;Copenhagen,2015-01-03,37,0.964,0.15
87,12336,2,5,Germany;Berlin,2015-01-03,37,0.964,0.15
88,12337,5,5,Germany;Berlin,2015-01-03,36,0.964,0.15
89,12338,7,3,Czech republic;Ostrava,2015-01-03,33,0.964,0.15
90,12339,5,1,Czech republic;Prague,2015-01-03,22,0.964,0.01
91,12340,10,6,Germany;Dresden,2015-01-03,21,0.964,0.01
92,12341,4,7,Germany;Frankfurt,2015-01-03,18,0.964,0.01
93,12342,9,5,Germany;Berlin,2015-01-03,18,0.964,0.01
94,12343,1,3,Czech republic;Brno,2015-01-03,13,0.964,0.01
95,12344,10,5,Germany;Berlin,2015-01-03,10,0.964,0.0
96,12345,7,5,Germany;Berlin,2015-01-03,6,0.964,0.0
97,12346,5,5,Germany;Berlin,2015-01-03,5,0.964,0.0
98,12347,7,7,Germany;Frankfurt,2015-01-03,4,0.964,0.0
99,12348,9,7,Germany;Frankfurt,2015-01-03,3,0.964,0.0
100,12349,1,5,Germany;Berlin,2015-01-06,149,0.97,0.55
101,12350,2,5,Germany;Berlin,2015-01-06,144,0.97,0.55
102,12351,3,7,Germany;Frankfurt,2015-01-06,139,0.97,0.55
103,12352,6,4,Germany;Frankfurt,2015-01-06,136,0.97,0.55
104,12353,1,6,Germany;Dresden,2015-01-06,135,0.97,0.55
105,12354,5,3,Czech republic;Brno,2015-01-06,134,0.97,0.55
106,12355,9,4,Germany;Frankfurt,2015-01-06,131,0.97,0.55
107,12356,8,5,Germany;Berlin,2015-01-06,131,0.97,0.55
108,12357,4,5,Germany;Berlin,2015-01-06,129,0.97,0.55
109,12358,9,6,Germany;Dresden,2015-01-06,129,0.97,0.55
110,12359,4,7,Germany;Frankfurt,2015-01-06,128,0.97,0.55
111,12360,5,5,Germany;Berlin,2015-01-06,125,0.97,0.55
112,12361,7,7,Germany;Frankfurt,2015-01-06,125,0.97,0.55
113,12362,8,6,Germany;Dresden,2015-01-06,122,0.97,0.55
114,12363,2,3,Czech republic;Brno,2015-01-06,118,0.97,0.55
115,12364,10,5,Germany;Berlin,2015-01-06,115,0.97,0.55
116,12365,9,7,Germany;Frankfurt,2015-01-06,114,0.97,0.55
117,12366,8,3,Czech republic;Ostrava,2015-01-06,113,0.97,0.55
118,12367,2,7,Germany;Frankfurt,2015-01-06,112,0.97,0.55
119,12368,10,5,Germany;Berlin,2015-01-06,108,0.97,0.55
120,12369,2,5,Germany;Berlin,2015-01-06,107,0.97,0.55
121,12370,7,5,Germany;Berlin,2015-01-06,106,0.97,0.55
122,12371,5,5,Germany;Berlin,2015-01-06,105,0.97,0.55
123,12372,9,3,Czech republic;Ostrava,2015-01-06,103,0.97,0.55
124,12373,7,3,Czech republic;Ostrava,2015-01-06,99,0.97,0.4
125,12374,4,5,Germany;Berlin,2015-01-06,99,0.97,0.4
126,12375,8,5,Germany;Berlin,2015-01-06,98,0.97,0.4
127,12376,5,6,Germany;Dresden,2015-01-06,98,0.97,0.4
128,12377,3,2,Denmark;Copenhagen,2015-01-06,88,0.97,0.4
129,12378,8,7,Germany;Frankfurt,2015-01-06,82,0.97,0.4
130,12379,9,7,Germany;Frankfurt,2015-01-06,81,0.97,0.4
131,12380,5,4,Germany;Frankfurt,2015-01-06,80,0.97,0.4
132,12381,8,2,Denmark;Copenhagen,2015-01-06,80,0.97,0.4
133,12382,11,7,Germany;Frankfurt,2015-01-06,79,0.97,0.4
134,12383,11,5,Germany;Berlin,2015-01-06,77,0.97,0.4
135,12384,4,5,Germany;Berlin,2015-01-06,74,0.97,0.15
136,12385,10,3,Czech republic;Ostrava,2015-01-06,72,0.97,0.15
137,12386,10,5,Germany;Berlin,2015-01-06,66,0.97,0.15
138,12387,10,7,Germany;Frankfurt,2015-01-06,65,0.97,0.15
139,12388,4,5,Germany;Berlin,2015-01-06,61,0.97,0.15
140,12389,5,3,Czech republic;Brno,2015-01-06,55,0.97,0.15
141,12390,7,5,Germany;Berlin,2015-01-06,53,0.97,0.15
142,12391,3,5,Germany;Berlin,2015-01-06,53,0.97,0.15
143,12392,6,5,Germany;Berlin,2015-01-06,52,0.97,0.15
144,12393,6,7,Germany;Frankfurt,2015-01-06,48,0.97,0.15
145,12394,6,6,Germany;Dresden,2015-01-06,45,0.97,0.15
146,12395,9,7,Germany;Frankfurt,2015-01-06,43,0.97,0.15
147,12396,2,5,Germany;Berlin,2015-01-06,39,0.97,0.15
148,12397,7,5,Germany;Berlin,2015-01-06,36,0.97,0.15
149,12398,5,4,Germany;Frankfurt,2015-01-06,34,0.97,0.15
150,12399,1,3,Czech republic;Brno,2015-01-06,32,0.97,0.15
151,12400,11,7,Germany;Frankfurt,2015-01-06,31,0.97,0.15
152,12401,1,7,Germany;Frankfurt,2015-01-06,29,0.97,0.15
153,12402,2,6,Germany;Dresden,2015-01-06,29,0.97,0.15
154,12403,10,2,Denmark;Copenhagen,2015-01-06,22,0.97,0.01
155,12404,3,5,Germany;Berlin,2015-01-06,20,0.97,0.01
156,12405,4,6,Germany;Dresden,2015-01-06,20,0.97,0.01
157,12406,3,3,Czech republic;Brno,2015-01-06,15,0.97,0.01
158,12407,9,6,Germany;Dresden,2015-01-06,7,0.97,0.0
159,12408,5,7,Germany;Frankfurt,2015-01-06,5,0.97,0.0
160,12409,7,4,Germany;Frankfurt,2015-01-06,4,0.97,0.0
161,12410,6,6,Germany;Dresden,2015-01-06,2,0.97,0.0
162,12411,11,5,Germany;Berlin,2015-01-07,150,0.966,0.55
163,12412,5,3,Czech republic;Brno,2015-01-07,149,0.966,0.55
164,12413,7,7,Germany;Frankfurt,2015-01-07,148,0.966,0.55
165,12414,5,1,Czech republic;Prague,2015-01-07,147,0.966,0.55
166,12415,6,2,Denmark;Copenhagen,2015-01-07,142,0.966,0.55
167,12416,10,6,Germany;Dresden,2015-01-07,140,0.966,0.55
168,12417,8,7,Germany;Frankfurt,2015-01-07,138,0.966,0.55
169,12418,2,2,Denmark;Copenhagen,2015-01-07,132,0.966,0.55
170,12419,1,6,Germany;Dresden,2015-01-07,129,0.966,0.55
171,12420,8,3,Czech republic;Ostrava,2015-01-07,127,0.966,0.55
172,12421,6,5,Germany;Berlin,2015-01-07,127,0.966,0.55
173,12422,10,7,Germany;Frankfurt,2015-01-07,125,0.966,0.55
174,12423,7,5,Germany;Berlin,2015-01-07,122,0.966,0.55
175,12424,11,6,Germany;Dresden,2015-01-07,115,0.966,0.55
176,12425,9,7,Germany;Frankfurt,2015-01-07,110,0.966,0.55
177,12426,5,7,Germany;Frankfurt,2015-01-07,105,0.966,0.55
178,12427,4,7,Germany;Frankfurt,2015-01-07,104,0.966,0.55
179,12428,5,5,Germany;Berlin,2015-01-07,104,0.966,0.55
180,12429,10,4,Germany;Frankfurt,2015-01-07,103,0.966,0.55
181,12430,5,5,Germany;Berlin,2015-01-07,97,0.966,0.4
182,12431,6,5,Germany;Berlin,2015-01-07,95,0.966,0.4
183,12432,5,5,Germany;Berlin,2015-01-07,91,0.966,0.4
184,12433,7,1,Czech republic;Prague,2015-01-07,87,0.966,0.4
185,12434,4,7,Germany;Frankfurt,2015-01-07,86,0.966,0.4
186,12435,3,7,Germany;Frankfurt,2015-01-07,85,0.966,0.4
187,12436,7,4,Germany;Frankfurt,2015-01-07,83,0.966,0.4
188,12437,4,4,Germany;Frankfurt,2015-01-07,81,0.966,0.4
189,12438,8,5,Germany;Berlin,2015-01-07,79,0.966,0.4
190,12439,1,7,Germany;Frankfurt,2015-01-07,79,0.966,0.4
191,12440,7,5,Germany;Berlin,2015-01-07,77,0.966,0.4
192,12441,2,4,Germany;Frankfurt,2015-01-07,74,0.966,0.15
193,12442,5,7,Germany;Frankfurt,2015-01-07,73,0.966,0.15
194,12443,2,7,Germany;Frankfurt,2015-01-07,72,0.966,0.15
195,12444,9,5,Germany;Berlin,2015-01-07,72,0.966,0.15
196,12445,4,6,Germany;Dresden,2015-01-07,62,0.966,0.15
197,12446,9,5,Germany;Berlin,2015-01-07,59,0.966,0.15
198,12447,5,4,Germany;Frankfurt,2015-01-07,56,0.966,0.15
199,12448,1,7,Germany;Frankfurt,2015-01-07,56,0.966,0.15
200,12449,7,5,Germany;Berlin,2015-01-07,54,0.966,0.15
201,12450,9,5,Germany;Berlin,2015-01-07,50,0.966,0.15
202,12451,2,5,Germany;Berlin,2015-01-07,49,0.966,0.15
203,12452,8,5,Germany;Berlin,2015-01-07,47,0.966,0.15
204,12453,9,1,Czech republic;Prague,2015-01-07,44,0.966,0.15
205,12454,7,3,Czech republic;Ostrava,2015-01-07,40,0.966,0.15
206,12455,6,1,Czech republic;Prague,2015-01-07,34,0.966,0.15
207,12456,3,7,Germany;Frankfurt,2015-01-07,30,0.966,0.15
208,12457,6,7,Germany;Frankfurt,2015-01-07,26,0.966,0.15
209,12458,9,2,Denmark;Copenhagen,2015-01-07,25,0.966,0.01
210,12459,4,6,Germany;Dresden,2015-01-07,23,0.966,0.01
211,12460,9,7,Germany;Frankfurt,2015-01-07,22,0.966,0.01
212,12461,5,7,Germany;Frankfurt,2015-01-07,17,0.966,0.01
213,12462,1,5,Germany;Berlin,2015-01-07,9,0.966,0.0
214,12463,5,5,Germany;Berlin,2015-01-07,9,0.966,0.0
215,12464,3,7,Germany;Frankfurt,2015-01-07,4,0.966,0.0
216,12465,10,7,Germany;Frankfurt,2015-01-07,4,0.966,0.0
217,12466,6,5,Germany;Berlin,2015-01-07,1,0.966,0.0
218,12467,2,5,Germany;Berlin,2015-01-07,1,0.966,0.0
219,12468,2,5,Germany;Berlin,2015-01-08,147,0.967,0.55
220,12469,10,5,Germany;Berlin,2015-01-08,146,0.967,0.55
221,12470,10,6,Germany;Dresden,2015-01-08,144,0.967,0.55
222,12471,8,7,Germany;Frankfurt,2015-01-08,132,0.967,0.55
223,12472,5,7,Germany;Frankfurt,2015-01-08,131,0.967,0.55
224,12473,8,5,Germany;Berlin,2015-01-08,124,0.967,0.55
225,12474,6,7,Germany;Frankfurt,2015-01-08,124,0.967,0.55
226,12475,11,7,Germany;Frankfurt,2015-01-08,120,0.967,0.55
227,12476,7,1,Czech republic;Prague,2015-01-08,117,0.967,0.55
228,12477,7,5,Germany;Berlin,2015-01-08,115,0.967,0.55
229,12478,6,4,Germany;Frankfurt,2015-01-08,114,0.967,0.55
230,12479,10,2,Denmark;Copenhagen,2015-01-08,113,0.967,0.55
231,12480,7,3,Czech republic;Ostrava,2015-01-08,111,0.967,0.55
232,12481,9,4,Germany;Frankfurt,2015-01-08,111,0.967,0.55
233,12482,1,1,Czech republic;Prague,2015-01-08,106,0.967,0.55
234,12483,5,7,Germany;Frankfurt,2015-01-08,98,0.967,0.4
235,12484,3,5,Germany;Berlin,2015-01-08,95,0.967,0.4
236,12485,8,5,Germany;Berlin,2015-01-08,92,0.967,0.4
237,12486,11,7,Germany;Frankfurt,2015-01-08,92,0.967,0.4
238,12487,1,7,Germany;Frankfurt,2015-01-08,90,0.967,0.4
239,12488,4,7,Germany;Frankfurt,2015-01-08,88,0.967,0.4
240,12489,9,2,Denmark;Copenhagen,2015-01-08,88,0.967,0.4
241,12490,6,7,Germany;Frankfurt,2015-01-08,87,0.967,0.4
242,12491,4,5,Germany;Berlin,2015-01-08,85,0.967,0.4
243,12492,1,2,Denmark;Copenhagen,2015-01-08,82,0.967,0.4
244,12493,8,5,Germany;Berlin,2015-01-08,80,0.967,0.4
245,12494,6,5,Germany;Berlin,2015-01-08,79,0.967,0.4
246,12495,2,5,Germany;Berlin,2015-01-08,77,0.967,0.4
247,12496,11,3,Czech republic;Ostrava,2015-01-08,72,0.967,0.15
248,12497,4,3,Czech republic;Brno,2015-01-08,62,0.967,0.15
249,12498,2,7,Germany;Frankfurt,2015-01-08,58,0.967,0.15
250,12499,6,6,Germany;Dresden,2015-01-08,57,0.967,0.15
251,12500,3,1,Czech republic;Prague,2015-01-08,57,0.967,0.15
252,12501,10,3,Czech republic;Ostrava,2015-01-08,54,0.967,0.15
253,12502,3,7,Germany;Frankfurt,2015-01-08,53,0.967,0.15
254,12503,6,5,Germany;Berlin,2015-01-08,53,0.967,0.15
255,12504,2,1,Czech republic;Prague,2015-01-08,52,0.967,0.15
256,12505,6,6,Germany;Dresden,2015-01-08,46,0.967,0.15
257,12506,8,5,Germany;Berlin,2015-01-08,38,0.967,0.15
258,12507,11,2,Denmark;Copenhagen,2015-01-08,36,0.967,0.15
259,12508,6,5,Germany;Berlin,2015-01-08,34,0.967,0.15
260,12509,11,5,Germany;Berlin,2015-01-08,25,0.967,0.01
261,12510,5,3,Czech republic;Brno,2015-01-08,22,0.967,0.01
262,12511,6,5,Germany;Berlin,2015-01-08,12,0.967,0.01
263,12512,1,1,Czech republic;Prague,2015-01-08,3,0.967,0.0
264,12513,8,6,Germany;Dresden,2015-01-08,2,0.967,0.0
265,12514,2,5,Germany;Berlin,2015-01-08,1,0.967,0.0
266,12515,11,1,Czech republic;Prague,2015-01-09,144,0.96,0.55
267,12516,3,7,Germany;Frankfurt,2015-01-09,143,0.96,0.55
268,12517,6,5,Germany;Berlin,2015-01-09,142,0.96,0.55
269,12518,7,6,Germany;Dresden,2015-01-09,137,0.96,0.55
270,12519,6,5,Germany;Berlin,2015-01-09,136,0.96,0.55
271,12520,1,3,Czech republic;Brno,2015-01-09,135,0.96,0.55
272,12521,8,7,Germany;Frankfurt,2015-01-09,135,0.96,0.55
273,12522,10,1,Czech republic;Prague,2015-01-09,134,0.96,0.55
274,12523,11,4,Germany;Frankfurt,2015-01-09,129,0.96,0.55
275,12524,11,7,Germany;Frankfurt,2015-01-09,126,0.96,0.55
276,12525,3,1,Czech republic;Prague,2015-01-09,122,0.96,0.55
277,12526,7,5,Germany;Berlin,2015-01-09,121,0.96,0.55
278,12527,1,5,Germany;Berlin,2015-01-09,120,0.96,0.55
279,12528,5,1,Czech republic;Prague,2015-01-09,120,0.96,0.55
280,12529,8,5,Germany;Berlin,2015-01-09,119,0.96,0.55
281,12530,7,2,Denmark;Copenhagen,2015-01-09,119,0.96,0.55
282,12531,8,7,Germany;Frankfurt,2015-01-09,118,0.96,0.55
283,12532,11,5,Germany;Berlin,2015-01-09,111,0.96,0.55
284,12533,7,5,Germany;Berlin,2015-01-09,106,0.96,0.55
285,12534,2,2,Denmark;Copenhagen,2015-01-09,105,0.96,0.55
286,12535,6,7,Germany;Frankfurt,2015-01-09,100,0.96,0.55
287,12536,4,2,Denmark;Copenhagen,2015-01-09,98,0.96,0.4
288,12537,9,7,Germany;Frankfurt,2015-01-09,97,0.96,0.4
289,12538,4,5,Germany;Berlin,2015-01-09,90,0.96,0.4
290,12539,6,7,Germany;Frankfurt,2015-01-09,82,0.96,0.4
291,12540,8,5,Germany;Berlin,2015-01-09,73,0.96,0.15
292,12541,4,5,Germany;Berlin,2015-01-09,61,0.96,0.15
293,12542,7,1,Czech republic;Prague,2015-01-09,60,0.96,0.15
294,12543,11,5,Germany;Berlin,2015-01-09,50,0.96,0.15
295,12544,5,7,Germany;Frankfurt,2015-01-09,48,0.96,0.15
296,12545,4,4,Germany;Frankfurt,2015-01-09,44,0.96,0.15
297,12546,9,2,Denmark;Copenhagen,2015-01-09,40,0.96,0.15
298,12547,8,3,Czech republic;Ostrava,2015-01-09,35,0.96,0.15
299,12548,9,2,Denmark;Copenhagen,2015-01-09,27,0.96,0.15
300,12549,9,5,Germany;Berlin,2015-01-09,24,0.96,0.01
301,12550,4,5,Germany;Berlin,2015-01-09,21,0.96,0.01
302,12551,1,4,Germany;Frankfurt,2015-01-09,14,0.96,0.01
303,12552,11,5,Germany;Berlin,2015-01-09,3,0.96,0.0
304,12553,9,7,Germany;Frankfurt,2015-01-09,2,0.96,0.0
305,12554,11,4,Germany;Frankfurt,2015-01-09,2,0.96,0.0
306,12555,6,4,Germany;Frankfurt,2015-01-09,1,0.96,0.0
307,12556,5,5,Germany;Berlin,2015-01-12,150,0.972,0.55
308,12557,11,1,Czech republic;Prague,2015-01-12,150,0.972,0.55
309,12558,9,7,Germany;Frankfurt,2015-01-12,143,0.972,0.55
310,12559,9,5,Germany;Berlin,2015-01-12,140,0.972,0.55
311,12560,7,5,Germany;Berlin,2015-01-12,139,0.972,0.55
312,12561,3,2,Denmark;Copenhagen,2015-01-12,136,0.972,0.55
313,12562,9,5,Germany;Berlin,2015-01-12,124,0.972,0.55
314,12563,6,7,Germany;Frankfurt,2015-01-12,118,0.972,0.55
315,12564,1,7,Germany;Frankfurt,2015-01-12,115,0.972,0.55
316,12565,7,7,Germany;Frankfurt,2015-01-12,113,0.972,0.55
317,12566,8,6,Germany;Dresden,2015-01-12,105,0.972,0.55
318,12567,8,5,Germany;Berlin,2015-01-12,101,0.972,0.55
319,12568,5,5,Germany;Berlin,2015-01-12,99,0.972,0.4
320,12569,8,7,Germany;Frankfurt,2015-01-12,96,0.972,0.4
321,12570,2,5,Germany;Berlin,2015-01-12,93,0.972,0.4
322,12571,7,7,Germany;Frankfurt,2015-01-12,90,0.972,0.4
323,12572,11,2,Denmark;Copenhagen,2015-01-12,82,0.972,0.4
324,12573,5,5,Germany;Berlin,2015-01-12,82,0.972,0.4
325,12574,1,5,Germany;Berlin,2015-01-12,78,0.972,0.4
326,12575,1,4,Germany;Frankfurt,2015-01-12,75,0.972,0.15
327,12576,10,3,Czech republic;Ostrava,2015-01-12,75,0.972,0.15
328,12577,4,6,Germany;Dresden,2015-01-12,74,0.972,0.15
329,12578,5,7,Germany;Frankfurt,2015-01-12,68,0.972,0.15
330,12579,9,5,Germany;Berlin,2015-01-12,68,0.972,0.15
331,12580,11,2,Denmark;Copenhagen,2015-01-12,67,0.972,0.15
332,12581,1,5,Germany;Berlin,2015-01-12,63,0.972,0.15
333,12582,8,5,Germany;Berlin,2015-01-12,60,0.972,0.15
334,12583,3,7,Germany;Frankfurt,2015-01-12,57,0.972,0.15
335,12584,9,7,Germany;Frankfurt,2015-01-12,55,0.972,0.15
336,12585,6,7,Germany;Frankfurt,2015-01-12,49,0.972,0.15
337,12586,8,5,Germany;Berlin,2015-01-12,47,0.972,0.15
338,12587,8,5,Germany;Berlin,2015-01-12,46,0.972,0.15
339,12588,9,1,Czech republic;Prague,2015-01-12,38,0.972,0.15
340,12589,4,7,Germany;Frankfurt,2015-01-12,33,0.972,0.15
341,12590,11,3,Czech republic;Ostrava,2015-01-12,21,0.972,0.01
342,12591,5,6,Germany;Dresden,2015-01-12,17,0.972,0.01
343,12592,9,6,Germany;Dresden,2015-01-12,17,0.972,0.01
344,12593,8,7,Germany;Frankfurt,2015-01-12,13,0.972,0.01
345,12594,5,3,Czech republic;Brno,2015-01-12,13,0.972,0.01
346,12595,7,5,Germany;Berlin,2015-01-13,148,0.968,0.55
347,12596,8,7,Germany;Frankfurt,2015-01-13,144,0.968,0.55
348,12597,1,7,Germany;Frankfurt,2015-01-13,141,0.968,0.55
349,12598,9,3,Czech republic;Ostrava,2015-01-13,133,0.968,0.55
350,12599,5,1,Czech republic;Prague,2015-01-13,132,0.968,0.55
351,12600,1,6,Germany;Dresden,2015-01-13,132,0.968,0.55
352,12601,7,1,Czech republic;Prague,2015-01-13,131,0.968,0.55
353,12602,5,5,Germany;Berlin,2015-01-13,129,0.968,0.55
354,12603,11,5,Germany;Berlin,2015-01-13,125,0.968,0.55
355,12604,1,5,Germany;Berlin,2015-01-13,121,0.968,0.55
356,12605,9,5,Germany;Berlin,2015-01-13,113,0.968,0.55
357,12606,2,7,Germany;Frankfurt,2015-01-13,110,0.968,0.55
358,12607,6,2,Denmark;Copenhagen,2015-01-13,106,0.968,0.55
359,12608,11,2,Denmark;Copenhagen,2015-01-13,106,0.968,0.55
360,12609,6,5,Germany;Berlin,2015-01-13,105,0.968,0.55
361,12610,5,7,Germany;Frankfurt,2015-01-13,91,0.968,0.4
362,12611,7,3,Czech republic;Ostrava,2015-01-13,89,0.968,0.4
363,12612,4,5,Germany;Berlin,2015-01-13,87,0.968,0.4
364,12613,2,7,Germany;Frankfurt,2015-01-13,87,0.968,0.4
365,12614,8,5,Germany;Berlin,2015-01-13,86,0.968,0.4
366,12615,2,5,Germany;Berlin,2015-01-13,83,0.968,0.4
367,12616,7,2,Denmark;Copenhagen,2015-01-13,81,0.968,0.4
368,12617,4,6,Germany;Dresden,2015-01-13,78,0.968,0.4
369,12618,11,5,Germany;Berlin,2015-01-13,78,0.968,0.4
370,12619,10,1,Czech republic;Prague,2015-01-13,70,0.968,0.15
371,12620,4,6,Germany;Dresden,2015-01-13,68,0.968,0.15
372,12621,9,3,Czech republic;Ostrava,2015-01-13,65,0.968,0.15
373,12622,4,5,Germany;Berlin,2015-01-13,63,0.968,0.15
374,12623,5,1,Czech republic;Prague,2015-01-13,61,0.968,0.15
375,12624,8,5,Germany;Berlin,2015-01-13,61,0.968,0.15
376,12625,3,4,Germany;Frankfurt,2015-01-13,58,0.968,0.15
377,12626,2,1,Czech republic;Prague,2015-01-13,56,0.968,0.15
378,12627,8,7,Germany;Frankfurt,2015-01-13,55,0.968,0.15
379,12628,4,1,Czech republic;Prague,2015-01-13,55,0.968,0.15
380,12629,4,4,Germany;Frankfurt,2015-01-13,46,0.968,0.15
381,12630,9,1,Czech republic;Prague,2015-01-13,41,0.968,0.15
382,12631,2,7,Germany;Frankfurt,2015-01-13,37,0.968,0.15
