,fSalesPrimaryKey,ProductID,SalesRepID,Location,Date,Units,PercentOfStandardCost,RevenueDiscount
0,24749,2,2,Denmark;Copenhagen,2016-01-01,149,0.963,0.55
134,24883,7,5,Germany;Berlin,2016-01-05,76,0.97,0.4
135,24884,4,7,Germany;Frankfurt,2016-01-05,75,0.97,0.15
136,24885,5,1,Czech republic;Prague,2016-01-05,75,0.97,0.15
137,24886,2,6,Germany;Dresden,2016-01-05,72,0.97,0.15
138,24887,9,4,Germany;Frankfurt,2016-01-05,67,0.97,0.15
139,24888,10,3,Czech republic;Ostrava,2016-01-05,65,0.97,0.15
140,24889,7,7,Germany;Frankfurt,2016-01-05,62,0.97,0.15
141,24890,2,7,Germany;Frankfurt,2016-01-05,58,0.97,0.15
142,24891,2,1,Czech republic;Prague,2016-01-05,56,0.97,0.15
143,24892,1,3,Czech republic;Brno,2016-01-05,52,0.97,0.15
144,24893,11,1,Czech republic;Prague,2016-01-05,49,0.97,0.15
145,24894,9,5,Germany;Berlin,2016-01-05,36,0.97,0.15
146,24895,10,5,Germany;Berlin,2016-01-05,34,0.97,0.15
147,24896,9,7,Germany;Frankfurt,2016-01-05,30,0.97,0.15
148,24897,2,2,Denmark;Copenhagen,2016-01-05,28,0.97,0.15
149,24898,4,5,Germany;Berlin,2016-01-05,25,0.97,0.01
150,24899,5,7,Germany;Frankfurt,2016-01-05,25,0.97,0.01
151,24900,9,6,Germany;Dresden,2016-01-05,24,0.97,0.01
152,24901,2,5,Germany;Berlin,2016-01-05,18,0.97,0.01
153,24902,9,5,Germany;Berlin,2016-01-05,10,0.97,0.0
154,24903,3,5,Germany;Berlin,2016-01-05,8,0.97,0.0
155,24904,9,2,Denmark;Copenhagen,2016-01-05,4,0.97,0.0
156,24905,7,7,Germany;Frankfurt,2016-01-05,2,0.97,0.0
157,24906,11,5,Germany;Berlin,2016-01-06,150,0.973,0.55
158,24907,7,5,Germany;Berlin,2016-01-06,143,0.973,0.55
159,24908,6,4,Germany;Frankfurt,2016-01-06,138,0.973,0.55
160,24909,2,6,Germany;Dresden,2016-01-06,137,0.973,0.55
161,24910,7,7,Germany;Frankfurt,2016-01-06,129,0.973,0.55
162,24911,1,2,Denmark;Copenhagen,2016-01-06,127,0.973,0.55
163,24912,11,7,Germany;Frankfurt,2016-01-06,123,0.973,0.55
164,24913,6,5,Germany;Berlin,2016-01-06,120,0.973,0.55
165,24914,8,5,Germany;Berlin,2016-01-06,110,0.973,0.55
166,24915,1,5,Germany;Berlin,2016-01-06,107,0.973,0.55
167,24916,10,5,Germany;Berlin,2016-01-06,107,0.973,0.55
168,24917,2,2,Denmark;Copenhagen,2016-01-06,107,0.973,0.55
169,24918,4,5,Germany;Berlin,2016-01-06,105,0.973,0.55
170,24919,6,5,Germany;Berlin,2016-01-06,103,0.973,0.55
171,24920,1,7,Germany;Frankfurt,2016-01-06,102,0.973,0.55
172,24921,7,7,Germany;Frankfurt,2016-01-06,101,0.973,0.55
173,24922,6,7,Germany;Frankfurt,2016-01-06,99,0.973,0.4
174,24923,9,5,Germany;Berlin,2016-01-06,97,0.973,0.4
175,24924,6,7,Germany;Frankfurt,2016-01-06,94,0.973,0.4
176,24925,7,1,Czech republic;Prague,2016-01-06,92,0.973,0.4
177,24926,1,7,Germany;Frankfurt,2016-01-06,87,0.973,0.4
178,24927,7,3,Czech republic;Ostrava,2016-01-06,86,0.973,0.4
179,24928,6,6,Germany;Dresden,2016-01-06,85,0.973,0.4
180,24929,8,5,Germany;Berlin,2016-01-06,81,0.973,0.4
181,24930,8,5,Germany;Berlin,2016-01-06,78,0.973,0.4
182,24931,9,4,Germany;Frankfurt,2016-01-06,76,0.973,0.4
183,24932,5,2,Denmark;Copenhagen,2016-01-06,73,0.973,0.15
184,24933,9,5,Germany;Berlin,2016-01-06,70,0.973,0.15
185,24934,10,6,Germany;Dresden,2016-01-06,68,0.973,0.15
186,24935,6,5,Germany;Berlin,2016-01-06,64,0.973,0.15
187,24936,9,5,Germany;Berlin,2016-01-06,63,0.973,0.15
188,24937,9,7,Germany;Frankfurt,2016-01-06,60,0.973,0.15
189,24938,6,5,Germany;Berlin,2016-01-06,58,0.973,0.15
190,24939,6,7,Germany;Frankfurt,2016-01-06,56,0.973,0.15
191,24940,2,5,Germany;Berlin,2016-01-06,55,0.973,0.15
192,24941,10,4,Germany;Frankfurt,2016-01-06,55,0.973,0.15
193,24942,9,2,Denmark;Copenhagen,2016-01-06,49,0.973,0.15
194,24943,11,3,Czech republic;Ostrava,2016-01-06,45,0.973,0.15
195,24944,9,5,Germany;Berlin,2016-01-06,44,0.973,0.15
196,24945,6,7,Germany;Frankfurt,2016-01-06,41,0.973,0.15
197,24946,9,5,Germany;Berlin,2016-01-06,36,0.973,0.15
198,24947,3,5,Germany;Berlin,2016-01-06,36,0.973,0.15
199,24948,11,7,Germany;Frankfurt,2016-01-06,34,0.973,0.15
200,24949,5,3,Czech republic;Brno,2016-01-06,29,0.973,0.15
201,24950,1,6,Germany;Dresden,2016-01-06,26,0.973,0.15
202,24951,6,2,Denmark;Copenhagen,2016-01-06,20,0.973,0.01
203,24952,10,5,Germany;Berlin,2016-01-06,12,0.973,0.01
204,24953,10,6,Germany;Dresden,2016-01-06,9,0.973,0.0
205,24954,4,3,Czech republic;Brno,2016-01-06,6,0.973,0.0
206,24955,3,6,Germany;Dresden,2016-01-06,4,0.973,0.0
207,24956,3,5,Germany;Berlin,2016-01-06,3,0.973,0.0
208,24957,9,5,Germany;Berlin,2016-01-06,2,0.973,0.0
209,24958,2,2,Denmark;Copenhagen,2016-01-07,148,0.973,0.55
210,24959,8,1,Czech republic;Prague,2016-01-07,144,0.973,0.55
211,24960,6,5,Germany;Berlin,2016-01-07,143,0.973,0.55
212,24961,9,4,Germany;Frankfurt,2016-01-07,141,0.973,0.55
213,24962,8,4,Germany;Frankfurt,2016-01-07,140,0.973,0.55
214,24963,2,1,Czech republic;Prague,2016-01-07,132,0.973,0.55
215,24964,9,7,Germany;Frankfurt,2016-01-07,129,0.973,0.55
216,24965,10,6,Germany;Dresden,2016-01-07,116,0.973,0.55
217,24966,6,5,Germany;Berlin,2016-01-07,116,0.973,0.55
218,24967,1,1,Czech republic;Prague,2016-01-07,109,0.973,0.55
219,24968,3,1,Czech republic;Prague,2016-01-07,99,0.973,0.4
220,24969,7,5,Germany;Berlin,2016-01-07,93,0.973,0.4
221,24970,3,6,Germany;Dresden,2016-01-07,89,0.973,0.4
222,24971,6,5,Germany;Berlin,2016-01-07,87,0.973,0.4
223,24972,10,7,Germany;Frankfurt,2016-01-07,83,0.973,0.4
224,24973,3,7,Germany;Frankfurt,2016-01-07,81,0.973,0.4
225,24974,4,5,Germany;Berlin,2016-01-07,80,0.973,0.4
226,24975,7,4,Germany;Frankfurt,2016-01-07,77,0.973,0.4
227,24976,1,5,Germany;Berlin,2016-01-07,76,0.973,0.4
228,24977,7,7,Germany;Frankfurt,2016-01-07,71,0.973,0.15
229,24978,10,1,Czech republic;Prague,2016-01-07,69,0.973,0.15
230,24979,1,7,Germany;Frankfurt,2016-01-07,68,0.973,0.15
231,24980,4,4,Germany;Frankfurt,2016-01-07,68,0.973,0.15
232,24981,11,7,Germany;Frankfurt,2016-01-07,62,0.973,0.15
233,24982,8,5,Germany;Berlin,2016-01-07,62,0.973,0.15
234,24983,10,6,Germany;Dresden,2016-01-07,56,0.973,0.15
235,24984,4,5,Germany;Berlin,2016-01-07,54,0.973,0.15
236,24985,5,7,Germany;Frankfurt,2016-01-07,45,0.973,0.15
237,24986,6,5,Germany;Berlin,2016-01-07,44,0.973,0.15
238,24987,10,5,Germany;Berlin,2016-01-07,41,0.973,0.15
239,24988,3,5,Germany;Berlin,2016-01-07,39,0.973,0.15
240,24989,5,5,Germany;Berlin,2016-01-07,36,0.973,0.15
241,24990,7,5,Germany;Berlin,2016-01-07,33,0.973,0.15
242,24991,11,7,Germany;Frankfurt,2016-01-07,31,0.973,0.15
243,24992,9,5,Germany;Berlin,2016-01-07,28,0.973,0.15
244,24993,7,5,Germany;Berlin,2016-01-07,22,0.973,0.01
245,24994,8,5,Germany;Berlin,2016-01-07,22,0.973,0.01
246,24995,10,5,Germany;Berlin,2016-01-07,20,0.973,0.01
247,24996,3,6,Germany;Dresden,2016-01-07,13,0.973,0.01
248,24997,5,7,Germany;Frankfurt,2016-01-07,11,0.973,0.01
249,24998,2,7,Germany;Frankfurt,2016-01-07,6,0.973,0.0
250,24999,5,3,Czech republic;Brno,2016-01-08,150,0.978,0.55
251,25000,3,7,Germany;Frankfurt,2016-01-08,147,0.978,0.55
252,25001,11,6,Germany;Dresden,2016-01-08,136,0.978,0.55
253,25002,8,5,Germany;Berlin,2016-01-08,131,0.978,0.55
254,25003,11,5,Germany;Berlin,2016-01-08,130,0.978,0.55
255,25004,6,1,Czech republic;Prague,2016-01-08,124,0.978,0.55
256,25005,11,6,Germany;Dresden,2016-01-08,119,0.978,0.55
257,25006,10,3,Czech republic;Ostrava,2016-01-08,116,0.978,0.55
258,25007,7,2,Denmark;Copenhagen,2016-01-08,116,0.978,0.55
259,25008,5,4,Germany;Frankfurt,2016-01-08,115,0.978,0.55
260,25009,6,7,Germany;Frankfurt,2016-01-08,113,0.978,0.55
261,25010,3,3,Czech republic;Brno,2016-01-08,100,0.978,0.55
262,25011,9,7,Germany;Frankfurt,2016-01-08,98,0.978,0.4
263,25012,8,5,Germany;Berlin,2016-01-08,88,0.978,0.4
264,25013,2,4,Germany;Frankfurt,2016-01-08,83,0.978,0.4
265,25014,11,7,Germany;Frankfurt,2016-01-08,76,0.978,0.4
266,25015,11,1,Czech republic;Prague,2016-01-08,75,0.978,0.15
267,25016,6,5,Germany;Berlin,2016-01-08,72,0.978,0.15
268,25017,6,5,Germany;Berlin,2016-01-08,71,0.978,0.15
269,25018,10,7,Germany;Frankfurt,2016-01-08,70,0.978,0.15
270,25019,11,7,Germany;Frankfurt,2016-01-08,69,0.978,0.15
271,25020,1,3,Czech republic;Brno,2016-01-08,68,0.978,0.15
272,25021,11,6,Germany;Dresden,2016-01-08,61,0.978,0.15
273,25022,4,7,Germany;Frankfurt,2016-01-08,51,0.978,0.15
274,25023,1,4,Germany;Frankfurt,2016-01-08,50,0.978,0.15
275,25024,8,7,Germany;Frankfurt,2016-01-08,49,0.978,0.15
276,25025,7,5,Germany;Berlin,2016-01-08,48,0.978,0.15
277,25026,11,3,Czech republic;Ostrava,2016-01-08,43,0.978,0.15
278,25027,11,6,Germany;Dresden,2016-01-08,42,0.978,0.15
279,25028,8,5,Germany;Berlin,2016-01-08,42,0.978,0.15
280,25029,2,5,Germany;Berlin,2016-01-08,40,0.978,0.15
281,25030,7,5,Germany;Berlin,2016-01-08,36,0.978,0.15
282,25031,6,5,Germany;Berlin,2016-01-08,36,0.978,0.15
283,25032,4,7,Germany;Frankfurt,2016-01-08,27,0.978,0.15
284,25033,9,4,Germany;Frankfurt,2016-01-08,26,0.978,0.15
285,25034,4,7,Germany;Frankfurt,2016-01-08,22,0.978,0.01
286,25035,3,7,Germany;Frankfurt,2016-01-08,18,0.978,0.01
287,25036,3,5,Germany;Berlin,2016-01-08,12,0.978,0.01
288,25037,5,2,Denmark;Copenhagen,2016-01-08,12,0.978,0.01
289,25038,2,7,Germany;Frankfurt,2016-01-08,8,0.978,0.0
290,25039,6,5,Germany;Berlin,2016-01-08,4,0.978,0.0
291,25040,5,2,Denmark;Copenhagen,2016-01-08,3,0.978,0.0
292,25041,2,5,Germany;Berlin,2016-01-08,3,0.978,0.0
293,25042,7,6,Germany;Dresden,2016-01-09,147,0.962,0.55
294,25043,3,7,Germany;Frankfurt,2016-01-09,146,0.962,0.55
295,25044,8,1,Czech republic;Prague,2016-01-09,142,0.962,0.55
296,25045,10,7,Germany;Frankfurt,2016-01-09,142,0.962,0.55
297,25046,11,5,Germany;Berlin,2016-01-09,140,0.962,0.55
298,25047,6,5,Germany;Berlin,2016-01-09,134,0.962,0.55
299,25048,7,7,Germany;Frankfurt,2016-01-09,132,0.962,0.55
300,25049,5,5,Germany;Berlin,2016-01-09,125,0.962,0.55
301,25050,8,5,Germany;Berlin,2016-01-09,114,0.962,0.55
302,25051,4,5,Germany;Berlin,2016-01-09,114,0.962,0.55
303,25052,5,7,Germany;Frankfurt,2016-01-09,113,0.962,0.55
304,25053,3,5,Germany;Berlin,2016-01-09,113,0.962,0.55
305,25054,1,5,Germany;Berlin,2016-01-09,113,0.962,0.55
306,25055,3,3,Czech republic;Brno,2016-01-09,112,0.962,0.55
307,25056,5,2,Denmark;Copenhagen,2016-01-09,107,0.962,0.55
308,25057,11,5,Germany;Berlin,2016-01-09,104,0.962,0.55
309,25058,10,5,Germany;Berlin,2016-01-09,102,0.962,0.55
310,25059,2,4,Germany;Frankfurt,2016-01-09,102,0.962,0.55
311,25060,3,2,Denmark;Copenhagen,2016-01-09,100,0.962,0.55
312,25061,9,7,Germany;Frankfurt,2016-01-09,82,0.962,0.4
313,25062,6,4,Germany;Frankfurt,2016-01-09,80,0.962,0.4
314,25063,9,3,Czech republic;Ostrava,2016-01-09,78,0.962,0.4
315,25064,10,5,Germany;Berlin,2016-01-09,75,0.962,0.15
316,25065,9,5,Germany;Berlin,2016-01-09,70,0.962,0.15
317,25066,3,7,Germany;Frankfurt,2016-01-09,68,0.962,0.15
318,25067,3,2,Denmark;Copenhagen,2016-01-09,64,0.962,0.15
319,25068,3,7,Germany;Frankfurt,2016-01-09,56,0.962,0.15
320,25069,11,5,Germany;Berlin,2016-01-09,55,0.962,0.15
321,25070,9,5,Germany;Berlin,2016-01-09,47,0.962,0.15
322,25071,2,5,Germany;Berlin,2016-01-09,47,0.962,0.15
323,25072,1,1,Czech republic;Prague,2016-01-09,46,0.962,0.15
324,25073,1,4,Germany;Frankfurt,2016-01-09,41,0.962,0.15
325,25074,11,5,Germany;Berlin,2016-01-09,41,0.962,0.15
326,25075,11,7,Germany;Frankfurt,2016-01-09,40,0.962,0.15
327,25076,2,5,Germany;Berlin,2016-01-09,39,0.962,0.15
328,25077,11,5,Germany;Berlin,2016-01-09,38,0.962,0.15
329,25078,10,6,Germany;Dresden,2016-01-09,33,0.962,0.15
330,25079,2,4,Germany;Frankfurt,2016-01-09,24,0.962,0.01
331,25080,4,3,Czech republic;Brno,2016-01-09,23,0.962,0.01
332,25081,8,7,Germany;Frankfurt,2016-01-09,20,0.962,0.01
333,25082,11,3,Czech republic;Ostrava,2016-01-09,19,0.962,0.01
334,25083,1,7,Germany;Frankfurt,2016-01-09,14,0.962,0.01
335,25084,8,5,Germany;Berlin,2016-01-09,12,0.962,0.01
336,25085,5,5,Germany;Berlin,2016-01-09,11,0.962,0.01
337,25086,1,1,Czech republic;Prague,2016-01-09,9,0.962,0.0
338,25087,9,3,Czech republic;Ostrava,2016-01-09,6,0.962,0.0
339,25088,9,1,Czech republic;Prague,2016-01-09,5,0.962,0.0
340,25089,11,5,Germany;Berlin,2016-01-09,4,0.962,0.0
341,25090,10,5,Germany;Berlin,2016-01-09,3,0.962,0.0
342,25091,10,5,Germany;Berlin,2016-01-12,149,0.972,0.55
343,25092,4,1,Czech republic;Prague,2016-01-12,147,0.972,0.55
344,25093,7,5,Germany;Berlin,2016-01-12,141,0.972,0.55
345,25094,11,3,Czech republic;Ostrava,2016-01-12,141,0.972,0.55
346,25095,2,7,Germany;Frankfurt,2016-01-12,139,0.972,0.55
347,25096,6,7,Germany;Frankfurt,2016-01-12,139,0.972,0.55
348,25097,6,6,Germany;Dresden,2016-01-12,138,0.972,0.55
349,25098,7,2,Denmark;Copenhagen,2016-01-12,138,0.972,0.55
350,25099,8,1,Czech republic;Prague,2016-01-12,136,0.972,0.55
351,25100,4,3,Czech republic;Brno,2016-01-12,132,0.972,0.55
352,25101,8,5,Germany;Berlin,2016-01-12,131,0.972,0.55
353,25102,9,7,Germany;Frankfurt,2016-01-12,130,0.972,0.55
354,25103,10,5,Germany;Berlin,2016-01-12,126,0.972,0.55
355,25104,7,5,Germany;Berlin,2016-01-12,111,0.972,0.55
356,25105,3,5,Germany;Berlin,2016-01-12,109,0.972,0.55
357,25106,9,7,Germany;Frankfurt,2016-01-12,109,0.972,0.55
358,25107,4,5,Germany;Berlin,2016-01-12,109,0.972,0.55
359,25108,2,4,Germany;Frankfurt,2016-01-12,108,0.972,0.55
360,25109,7,3,Czech republic;Ostrava,2016-01-12,107,0.972,0.55
361,25110,1,1,Czech republic;Prague,2016-01-12,107,0.972,0.55
362,25111,4,2,Denmark;Copenhagen,2016-01-12,98,0.972,0.4
363,25112,6,7,Germany;Frankfurt,2016-01-12,96,0.972,0.4
364,25113,2,7,Germany;Frankfurt,2016-01-12,95,0.972,0.4
365,25114,1,7,Germany;Frankfurt,2016-01-12,90,0.972,0.4
366,25115,11,4,Germany;Frankfurt,2016-01-12,86,0.972,0.4
367,25116,11,7,Germany;Frankfurt,2016-01-12,63,0.972,0.15
368,25117,6,5,Germany;Berlin,2016-01-12,61,0.972,0.15
369,25118,9,7,Germany;Frankfurt,2016-01-12,60,0.972,0.15
370,25119,4,5,Germany;Berlin,2016-01-12,44,0.972,0.15
371,25120,10,5,Germany;Berlin,2016-01-12,38,0.972,0.15
372,25121,11,7,Germany;Frankfurt,2016-01-12,33,0.972,0.15
373,25122,1,5,Germany;Berlin,2016-01-12,31,0.972,0.15
374,25123,3,7,Germany;Frankfurt,2016-01-12,29,0.972,0.15
375,25124,11,7,Germany;Frankfurt,2016-01-12,28,0.972,0.15
376,25125,9,5,Germany;Berlin,2016-01-12,24,0.972,0.01
377,25126,5,7,Germany;Frankfurt,2016-01-12,23,0.972,0.01
378,25127,3,2,Denmark;Copenhagen,2016-01-12,22,0.972,0.01
379,25128,7,6,Germany;Dresden,2016-01-12,22,0.972,0.01
380,25129,1,3,Czech republic;Brno,2016-01-12,19,0.972,0.01
381,25130,9,7,Germany;Frankfurt,2016-01-12,15,0.972,0.01
382,25131,2,4,Germany;Frankfurt,2016-01-12,15,0.972,0.01
